sz002644 佛慈制药
sh600074 中达股份
sz300208 恒顺电气
sh600359 新农开发
sz300263 隆华传热
sz000514 渝 开 发
sh601139 深圳燃气
sz000971 ST迈亚
sz002673 西部证券
sz000800 一汽轿车
sh600366 宁波韵升
sz300237 美晨科技
sz300186 大华农
sz300269 联建光电
sz300069 金利华电
sz002089 新 海 宜
sz000669 *ST领先
sz000538 云南白药
sz000672 *ST 铜城
sh600577 精达股份
sh600868 ST梅雁
sz002022 科华生物
sz002177 御银股份
sz300312 邦讯技术
sz300227 光韵达
sz002062 宏润建设
sz300048 合康变频
sz000756 新华制药
sh600757 ST源发
sz002079 苏州固锝
sz000157 中联重科
sz002502 骅威股份
sz000753 漳州发展
sz002416 爱施德
sh600227 赤天化
sh600051 宁波联合
sz002328 新朋股份
sh600089 特变电工
sz002510 天汽模
sz000821 京山轻机
sz002065 东华软件
sh601006 大秦铁路
sz002301 齐心文具
sz000009 中国宝安
sz000810 华润锦华
sz000829 天音控股
sz002010 传化股份
sz002560 通达股份
sz002166 莱茵生物
sz002593 日上集团
sh600588 用友软件
sz000978 桂林旅游
sz300250 初灵信息
sz002376 新北洋
sz000886 海南高速
sz000935 四川双马
sz002614 蒙发利
sz002316 键桥通讯
sh600231 凌钢股份
sz300151 昌红科技
sz300152 燃控科技
sz000877 天山股份
sz002124 天邦股份
sz000705 浙江震元
sz000633 ST合金
sh600118 中国卫星
sz300169 天晟新材
sz000936 华西股份
sh600444 国通管业
sz002181 粤 传 媒
sz002602 世纪华通
sz000045 深纺织Ａ
sz000023 深天地Ａ
sz002612 朗姿股份
sz000552 靖远煤电
sz002647 宏磊股份
sz000875 吉电股份
sz002458 益生股份
sz002011 盾安环境
sh600370 三房巷
sz002176 江特电机
sz300255 常山药业
sz002245 澳洋顺昌
sz300270 中威电子
sz300006 莱美药业
sz000980 金马股份
sh600283 钱江水利
sh600377 宁沪高速
sh600008 首创股份
sh600610 SST中纺
sh600099 林海股份
sz002204 大连重工
sh600468 百利电气
sz000996 中国中期
sz300179 四方达
sz300204 舒泰神
sz000815 *ST美利
sz000089 深圳机场
sh600410 华胜天成
sz002459 天业通联
sh600557 康缘药业
sh600439 瑞贝卡
sh600780 通宝能源
sz002481 双塔食品
sz002212 南洋股份
sh600680 上海普天
sh600403 欣网视讯
sz002244 滨江集团
sh600282 南钢股份
sz002103 广博股份
sh600569 安阳钢铁
sz000965 天保基建
sh600149 *ST建通
sh601299 中国北车
sh600740 山西焦化
sz300115 长盈精密
sz000858 五 粮 液
sh600671 天目药业
sz000069 华侨城Ａ
sh600879 航天电子
sh600876 ST洛玻
sz300178 腾邦国际
sh600476 湘邮科技
sh600844 丹化科技
sz002587 奥拓电子
sz002185 华天科技
sz002424 贵州百灵
sz002266 浙富股份
sh600969 郴电国际
sz002287 奇正藏药
sh600519 贵州茅台
sz002575 群兴玩具
sz002121 科陆电子
sz000065 北方国际
sh601009 南京银行
sz000650 仁和药业
sz000961 中南建设
sz002160 常铝股份
sz000790 华神集团
sz300232 洲明科技
sh600593 大连圣亚
sz000584 友利控股
sh600276 恒瑞医药
sh600533 栖霞建设
sh600526 菲达环保
sz002541 鸿路钢构
sz000629 攀钢钒钛
sz002491 通鼎光电
sh600719 大连热电
sz002134 天津普林
sz300278 华昌达
sh600371 万向德农
sh600260 凯乐科技
sh600396 金山股份
sh600426 华鲁恒升
sh600016 民生银行
sz002312 三泰电子
sz002280 新世纪
sz300154 瑞凌股份
sz000033 新都酒店
sh600070 浙江富润
sh600702 沱牌曲酒
sh600540 新赛股份
sh600538 北海国发
sh601727 上海电气
sz000417 合肥百货
sz300230 永利带业
sh600101 明星电力
sz000639 西王食品
sz002504 东光微电
sz002394 联发股份
sh600337 美克股份
sh600132 重庆啤酒
sh600579 ST黄海
sz002549 凯美特气
sh600731 湖南海利
sz002430 杭氧股份
sh600281 太化股份
sh600029 南方航空
sz002037 久联发展
sz000594 国恒铁路
sz300238 冠昊生物
sz000758 中色股份
sz000409 *ST泰复
sh600233 大杨创世
sz300180 华峰超纤
sz002080 中材科技
sh600770 综艺股份
sz002403 爱仕达
sz300029 天龙光电
sz002443 金洲管道
sz002382 蓝帆股份
sh600688 S上石化
sh600297 美罗药业
sz000603 盛达矿业
sz000601 韶能股份
sh600793 ST宜纸
sz000702 正虹科技
sz000876 新 希 望
sz002349 精华制药
sh600749 西藏旅游
sz300026 红日药业
sz000990 诚志股份
sh600745 中茵股份
sz002211 宏达新材
sz300125 易世达
sz002436 兴森科技
sh600502 安徽水利
sz002119 康强电子
sh600855 航天长峰
sz002489 浙江永强
sz000430 张家界
sh600313 *ST中农
sz002090 金智科技
sz000720 *ST能山
sz000043 中航地产
sh600888 新疆众和
sz002335 科华恒盛
sz000835 四川圣达
sh600461 洪城水业
sh600609 金杯汽车
sz000726 鲁 泰Ａ
sh600096 云天化
sh600421 *ST国药
sh600258 首旅股份
sh600679 金山开发
sz000668 荣丰控股
sz002517 泰亚股份
sz000677 *ST海龙
sh600582 天地科技
sz002654 万润科技
sh601008 连云港
sz300305 裕兴股份
sh600831 广电网络
sz300306 远方光电
sh600487 亨通光电
sz300059 东方财富
sz300224 正海磁材
sz002205 国统股份
sz002115 三维通信
sz300008 上海佳豪
sz300113 顺网科技
sz002609 捷顺科技
sz002081 金 螳 螂
sh600052 浙江广厦
sz000777 中核科技
sz002371 七星电子
sz000927 一汽夏利
sz002056 横店东磁
sh600420 现代制药
sh601268 二重重装
sz300231 银信科技
sz002670 华声股份
sh601801 皖新传媒
sz000630 铜陵有色
sh600865 百大集团
sz300197 铁汉生态
sz002608 舜天船舶
sh600303 曙光股份
sz002603 以岭药业
sz300314 戴维医疗
sh600365 通葡股份
sz300045 华力创通
sz000722 *ST金果
sz002658 雪迪龙
sz000540 中天城投
sz000819 岳阳兴长
sz300189 神农大丰
sz002415 海康威视
sz000564 西安民生
sz300010 立思辰
sz002380 科远股份
sh600689 上海三毛
sz000760 博盈投资
sz000685 中山公用
sz002643 烟台万润
sh600333 长春燃气
sh600608 ST沪科
sh600095 哈高科
sh600310 桂东电力
sz000531 穗恒运Ａ
sz002341 新纶科技
sh600527 江南高纤
sz002096 南岭民爆
sz002605 姚记扑克
sz000425 徐工机械
sz002190 成飞集成
sz002168 深圳惠程
sz000955 ST欣龙
sz000802 北京旅游
sz002159 三特索道
sz002114 *ST锌电
sz300283 温州宏丰
sz000899 *ST赣能
sh600857 工大首创
sz300049 福瑞股份
sz000698 沈阳化工
sh600722 ST金化
sz300254 仟源制药
sz002260 伊 立 浦
sz000671 阳 光 城
sh600350 山东高速
sh600105 永鼎股份
sz000519 江南红箭
sz002438 江苏神通
sz002345 潮宏基
sh600022 济南钢铁
sz300055 万邦达
sz000728 国元证券
sz000597 东北制药
sz300025 华星创业
sz000969 安泰科技
sh600229 青岛碱业
sh600536 中国软件
sz000022 深赤湾Ａ
sz002136 安 纳 达
sz000616 亿城股份
sz002101 广东鸿图
sh600652 爱使股份
sh601618 中国中冶
sh600141 兴发集团
sz002250 联化科技
sz300243 瑞丰高材
sz002616 长青集团
sh600563 法拉电子
sz002343 禾欣股份
sz000902 中国服装
sz300209 天泽信息
sz000785 武汉中商
sz002066 瑞泰科技
sh600299 蓝星新材
sz000528 柳 工
sz300163 先锋新材
sz002133 广宇集团
sh600354 敦煌种业
sz000567 海德股份
sh601998 中信银行
sz300063 天龙集团
sh600789 鲁抗医药
sz002170 芭田股份
sz000998 隆平高科
sh600726 华电能源
sh600779 水井坊
sz002375 亚厦股份
sz002358 森源电气
sh600800 ST磁卡
sz002538 司尔特
sz002230 科大讯飞
sz000988 华工科技
sz000848 承德露露
sz002592 八菱科技
sz002259 升达林业
sz002650 加加食品
sz000803 金宇车城
sh600255 鑫科材料
sz002442 龙星化工
sz002497 雅化集团
sh600988 ST宝龙
sh600017 日照港
sz002283 天润曲轴
sz000032 深桑达Ａ
sh600804 鹏博士
sz000554 泰山石油
sh600814 杭州解百
sz300159 新研股份
sh600599 熊猫烟花
sz002225 濮耐股份
sh600397 安源股份
sz300042 朗科科技
sh600116 三峡水利
sz000852 江钻股份
sz002084 海鸥卫浴
sz002023 海特高新
sz002514 宝馨科技
sz000410 沈阳机床
sz300236 上海新阳
sh600967 北方创业
sz300157 恒泰艾普
sz300031 宝通带业
sz300257 开山股份
sh600834 申通地铁
sz002268 卫 士 通
sz300145 南方泵业
sz000823 超声电子
sh600449 赛马实业
sh600657 信达地产
sh600483 福建南纺
sh601179 中国西电
sh600861 北京城乡
sz000628 高新发展
sz002072 ST德棉
sh600301 南化股份
sh600543 莫高股份
sh600708 海博股份
sz000547 闽福发Ａ
sz002222 福晶科技
sh600385 ST金泰
sh600467 好当家
sz300160 秀强股份
sz300188 美亚柏科
sh600251 冠农股份
sh600595 中孚实业
sz002007 华兰生物
sh600696 多伦股份
sz002591 恒大高新
sz002521 齐峰股份
sz002189 利达光电
sz000510 金路集团
sz002600 江粉磁材
sh600485 中创信测
sh600155 *ST宝硕
sz000798 中水渔业
sz002117 东港股份
sz000778 新兴铸管
sz002234 民和股份
sz002273 水晶光电
sz002067 景兴纸业
sz002153 石基信息
sz300233 金城医药
sz000655 金岭矿业
sz300136 信维通信
sh600885 力诺太阳
sz002392 北京利尔
sz300302 同有科技
sh600252 中恒集团
sz000750 国海证券
sz002398 建研集团
sh600279 重庆港九
sh600079 人福科技
sz002463 沪电股份
sz000678 襄阳轴承
sh600316 洪都航空
sz300168 万达信息
sz300111 向日葵
sz000667 名流置业
sz002444 巨星科技
sz000428 华天酒店
sz300164 通源石油
sh600985 雷鸣科化
sz000885 同力水泥
sz300071 华谊嘉信
sz300135 宝利沥青
sh601111 中国国航
sz300311 任子行
sz300166 东方国信
sh600293 三峡新材
sh600277 亿利能源
sh600660 福耀玻璃
sz002632 道明光学
sz002305 南国置业
sz002534 杭锅股份
sz300096 易联众
sz002183 怡 亚 通
sz002388 新亚制程
sz000999 华润三九
sh600785 新华百货
sz002047 成霖股份
sh600353 旭光股份
sh600655 豫园商城
sh600106 重庆路桥
sh600693 东百集团
sz002498 汉缆股份
sh600348 国阳新能
sz002032 苏 泊 尔
sh600249 两面针
sh600664 哈药股份
sz002199 东晶电子
sz002038 双鹭药业
sh600145 四维控股
sh600497 驰宏锌锗
sz300143 星河生物
sz002261 拓维信息
sz300165 天瑞仪器
sz300110 华仁药业
sz002599 盛通股份
sz000816 江淮动力
sz002365 永安药业
sh600030 中信证券
sz000060 中金岭南
sz002195 海隆软件
sz300220 金运激光
sh600152 维科精华
sz002346 柘中建设
sz000895 双汇发展
sz000521 美菱电器
sz000903 云内动力
sh600776 东方通信
sz002635 安洁科技
sh600009 上海机场
sz000822 山东海化
sz000536 华映科技
sz000878 云南铜业
sz002139 拓邦股份
sz000697 *ST炼石
sz002395 双象股份
sz002423 中原特钢
sh600590 泰豪科技
sz000839 中信国安
sz002255 海陆重工
sh600318 巢东股份
sh600640 中卫国脉
sh600521 华海药业
sz002228 合兴包装
sh600321 国栋建设
sz300289 利德曼
sz000806 *ST银河
sh600759 正和股份
sz000533 万 家 乐
sh600635 大众公用
sz000786 北新建材
sz300094 国联水产
sh600011 华能国际
sz300148 天舟文化
sz002326 永太科技
sz002618 丹邦科技
sh600489 中金黄金
sh600663 陆家嘴
sz002281 光迅科技
sh600897 厦门空港
sz002161 远 望 谷
sh600975 新五丰
sz000887 中鼎股份
sz002130 沃尔核材
sz000906 南方建材
sz002122 天马股份
